strain,replicate,eggs,larvae,fertilized
WT,1,0,0,no
WT,1,125,110,yes
WT,1,145,117,yes
WT,1,138,118,yes
WT,1,91,72,yes
WT,1,97,86,yes
WT,1,122,108,yes
WT,1,99,97,yes
WT,1,0,0,confirmed
WT,1,7,0,confirmed
WT,1,135,106,yes
WT,1,101,95,yes
WT,1,108,104,yes
WT,1,12,0,confirmed
WT,1,92,88,yes
WT,1,134,116,yes
WT,1,75,0,confirmed
WT,1,78,66,yes
WT,1,132,128,yes
WT,1,148,135,yes
WT,2,84,71,yes
WT,2,92,68,yes
WT,2,73,67,yes
WT,2,94,92,yes
WT,2,88,79,yes
WT,2,15,3,confirmed
WT,2,82,0,no
WT,2,87,71,yes
WT,2,119,103,yes
WT,2,120,109,yes
WT,2,129,125,yes
WT,2,107,99,yes
WT,2,83,70,yes
WT,2,0,0,no
WT,2,85,8,confirmed
WT,2,36,0,confirmed
WT,2,86,82,yes
WT,2,95,89,yes
WT,2,93,70,yes
WT,2,55,41,yes
WT,3,102,94,yes
WT,3,0,0,no
WT,3,95,6,confirmed
WT,3,79,74,yes
WT,3,82,59,yes
WT,3,96,84,yes
WT,3,99,95,yes
WT,3,101,99,yes
WT,3,76,70,yes
WT,3,62,0,confirmed
WT,3,83,0,no
WT,3,118,103,yes
WT,3,111,84,yes
WT,3,79,77,yes
WT,3,114,96,yes
WT,3,79,76,yes
WT,3,137,117,yes
WT,3,95,83,yes
WT,3,0,0,no
WT,3,62,52,yes
MM-CP,1,114,83,yes
MM-CP,1,90,88,yes
MM-CP,1,94,85,yes
MM-CP,1,82,69,yes
MM-CP,1,0,0,no
MM-CP,1,78,47,yes
MM-CP,1,0,0,no
MM-CP,1,0,0,no
MM-CP,1,75,59,yes
MM-CP,1,0,0,no
MM-CP,1,66,18,yes
MM-CP,1,97,83,yes
MM-CP,1,77,70,yes
MM-CP,1,64,44,yes
MM-CP,1,40,37,yes
MM-CP,1,92,89,yes
MM-CP,1,100,98,yes
MM-CP,1,111,102,yes
MM-CP,1,0,0,no
MM-CP,1,104,95,yes
MM-CP,2,133,128,yes
MM-CP,2,73,45,yes
MM-CP,2,105,78,yes
MM-CP,2,92,76,yes
MM-CP,2,47,40,yes
MM-CP,2,77,61,yes
MM-CP,2,89,82,yes
MM-CP,2,50,41,yes
MM-CP,2,114,79,yes
MM-CP,2,76,39,yes
MM-CP,2,0,0,no
MM-CP,2,82,71,yes
MM-CP,2,90,78,yes
MM-CP,2,122,87,yes
MM-CP,2,40,22,yes
MM-CP,2,56,41,yes
MM-CP,2,58,42,yes
MM-CP,2,89,80,yes
MM-CP,2,29,5,confirmed
MM-CP,2,89,84,yes
MM-CP,3,35,16,yes
MM-CP,3,104,88,yes
MM-CP,3,80,70,yes
MM-CP,3,89,85,yes
MM-CP,3,78,61,yes
MM-CP,3,43,23,yes
MM-CP,3,72,42,yes
MM-CP,3,79,65,yes
MM-CP,3,20,0,confirmed
MM-CP,3,0,0,no
MM-CP,3,0,0,confirmed
MM-CP,3,0,0,no
MM-CP,3,71,66,yes
MM-CP,3,120,117,yes
MM-CP,3,48,15,yes
MM-CP,3,114,94,yes
MM-CP,3,81,63,yes
MM-CP,3,96,91,yes
MM-CP,3,88,82,yes
MM-CP,3,92,76,yes